"DisplayName","DisplayVersion","Publisher","InstallDate"
"NVM for Windows 1.2.2","1.2.2","Author Software Inc.","20250322"
"Android Studio","2024.2","Google LLC",
,,,
"Docker Desktop","4.39.0","Docker Inc.",
"Driver Easy 6.1.2","6.1.2","Easeware","20250211"
"Git","2.45.1","The Git Development Community","20241026"
"Hone 1.1.49","1.1.49","Copyright ? Auraside Inc",
"LatencyMon 7.31","7.31","Resplendence Software Projects Sp.","20250211"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.60910","Microsoft Corporation",
,,"Microsoft Corporation",
"Microsoft OneDrive","25.035.0223.0003","Microsoft Corporation",
"Microsoft Office LTSC Professional Plus 2024 - en-us","16.0.17932.20286","Microsoft Corporation",
"Riot Vanguard",,"Riot Games, Inc.",
"THE FINALS",,"Embark Studios",
"Steamworks Common Redistributables",,"",
"Chained Together",,"Anegar Games",
"Exoborne Playtest",,"",
"PUBG: BATTLEGROUNDS",,"KRAFTON, Inc.",
"Aimlabs",,"State Space Labs, Inc.",
"Counter-Strike 2",,"Valve",
"Unity 2022.3.47f1","2022.3.47f1","Unity Technologies ApS",
"Unity 6000.0.23f1","6000.0.23f1","Unity Technologies ApS",
"Unity Hub 3.10.0","3.10.0","Unity Technologies Inc.",
"VLC media player","3.0.21","VideoLAN",
"Voice.ai - Voice Changer",,"Voice.ai",
,,,
"WinRAR 7.01 (64-bit)","7.01.0","win.rar GmbH",
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20240921"
"IIS Express Application Compatibility Database for x64",,,
"Python 3.12.6 Tcl/Tk Support (64-bit)","3.12.6150.0","Python Software Foundation","20240921"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","20240521"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.3","Microsoft Corporation","20240921"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.5.8030","Microsoft Corporation","20240921"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.82","Microsoft Corporation","20240921"
"Acronis Drivers","27.0.39939","Acronis","20240620"
"NordVPN","7.32.5.0","Nord Security","20250131"
"Microsoft ASP.NET Core 8.0.8 Shared Framework (x64)","8.0.8.24369","Microsoft Corporation","20240921"
"Python 3.12.6 pip Bootstrap (64-bit)","3.12.6150.0","Python Software Foundation","20240921"
